,X,Article_title,Name_first,Name_last,Num_authors,H_index_first,H_index_last,Num_publications_first,Num_publications_last,Num_preprints_first,Num_preprints_last,ECR_status_first,TypeOf_ECR_First,ECR_status_last,TypeOf_ECR_Last,Institution_size_first,TypeOf_Institution,Country,Continent,ImpactFactor,Journal,gender_first,gender_last,ECR_status_first_simplified,ECR_status_last_simplified
111,11,"Horizontal seed dispersal by dung beetles reduced seed and seedling clumping, but did not increase short-term seedling establishment",Lina Adonay Urrea-Galeano,Gabriel Ramos-Fernández,6,2,25,6,94,0,1,ECR,PhD,Researcher,NA,Large,Public,Mexico,North America,2.87,PLOS One,female,male,ECR,Non_ECR
112,12,Host-parasite interaction explains variation in the prevalence of avian haemosporidians at the community level,Luz Garcia-Longoria,Laszlo Garamszegi,4,10,49,27,186,0,0,ECR,PhD,Professor,NA,Large,Public,Spain,Europe,2.87,PLOS One,female,male,ECR,Non_ECR
113,13,Use of plumage and gular pouch color to evaluate condition of oil spill rehabilitated California brown pelicans (Pelecanus occidentalis californicus) post-release,Deborah L. Jaques,Michael H. Ziccardi,5,6,19,23,104,0,0,Senior Biologist,NA,DVM,NA,NA,NA,USA,North America,2.87,PLOS One,female,male,Non_ECR,Non_ECR
114,14,Trans-national conservation and infrastructure development in the Heart of Borneo,Sean Sloan,William F. Laurance,6,28,126,70,638,0,0,ECR,Post doc,Professor,NA,Medium,Public,Australia,Oceania,2.87,PLOS One,male,male,ECR,Non_ECR
115,15,Consistent declines in wing lengths of Calidridine sandpipers suggest a rapid morphometric response to environmental change,Alexandra M. Anderson,Erica Nol,6,5,34,10,151,0,2,ECR,Post doc,Professor,NA,Small,Public,Canada,North America,2.87,PLOS One,female,female,ECR,Non_ECR
116,16,"Moderate plant water stress improves larval development, and impacts immunity and gut microbiota of a specialist herbivore",Elena Rosa,Marjo Saastamoinen,4,4,24,7,93,0,6,ECR,PhD,Principal Investigator,NA,Large,Public,Finland,Europe,2.87,PLOS One,female,female,ECR,Non_ECR
117,17,Population productivity of shovelnose rays: Inferring the potential for recovery,Brooke M. D’Alberto,Colin A. Simpfendorfer,4,2,67,5,375,2,3,ECR,PhD,Professor,NA,Medium,Public,Australia,Oceania,2.87,PLOS One,female,male,ECR,Non_ECR
118,18,Development and validation of rapid environmental DNA (eDNA) detection methods for bog turtle (Glyptemys muhlenbergii),Anish A. Kirtane,Hyatt C. Green,3,1,8,3,24,0,0,ECR,Masters,Assistant Professor,NA,Small,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
119,19,Social information use and collective foraging in a pursuit diving seabird,Julian C. Evans,Sasha R. X. Dall,4,7,38,24,105,0,2,ECR,Post doc,Principal Investigator,NA,Large,Public,England,United kingdom,2.87,PLOS One,male,female,ECR,Non_ECR
120,20,Detection of an invasive aquatic plant in natural water bodies using environmental DNA,Marc B. Anglès d’Auriac,Jens Thaulow,5,10,7,65,27,0,0,Senior researcher,NA,Researcher,NA,NA,NA,Norway,Europe,2.87,PLOS One,male,male,Non_ECR,Non_ECR
121,21,Dragonflies community assembly in artificial habitats: Glimpses from field and manipulative experiments,Francesco Cerini,Leonardo Vignoli,3,1,15,7,112,0,2,ECR,PhD,Principal Investigator,NA,Large,Public,Italy,Europe,2.87,PLOS One,male,male,ECR,Non_ECR
122,22,Improving Species Distribution Modelling of freshwater invasive species for management applications,Marta Rodríguez-Rey,Carlos Garcia de Leaniz,4,7,33,35,274,0,17,ECR,PhD,Professor,NA,Large,Public,Wales,United kingdom,2.87,PLOS One,female,male,ECR,Non_ECR
123,23,Ideating iDNA: Lessons and limitations from leeches in legacy collections,Mark E. Siddall,Evon Hekkala,6,47,10,151,42,1,0,Professor,NA,Professor,NA,Medium,Private,USA,North America,2.87,PLOS One,male,female,Non_ECR,Non_ECR
124,24,Warming seas increase cold-stunning events for Kemp’s ridley sea turtles in the northwest Atlantic,Lucas P. Griffin,Andy J. Danylchuk,7,3,36,17,196,0,1,ECR,PhD,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
125,25,Infrastructure expansion challenges sustainable development in Papua New Guinea,Mohammed Alamgir,William F. Laurance,10,17,28,67,638,0,0,Senior researcher,NA,Professor,NA,Medium,Public,Australia,Oceania,2.87,PLOS One,male,male,Non_ECR,Non_ECR
126,26,Building a stakeholder-led common vision increases the expected cost-effectiveness of biodiversity conservation,Rocío Ponce Reyes,Josie Carwardine,8,10,29,20,65,0,0,Research scientist,NA,Researcher,NA,NA,NA,Australia,Oceania,2.87,PLOS One,NA,female,Non_ECR,Non_ECR
127,27,Ritualized aggressive behavior reveals distinct social structures in native and introduced range tawny crazy ants,Edward G. LeBrun,Lawrence E. Gilbert,5,19,55,41,135,0,0,Research scientist,NA,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,Non_ECR,Non_ECR
128,28,Crowdfunding scientific research: descriptive insights and correlates of funding success,Henry Sauermann,Kouroah Shafi,3,21,7,32,12,0,0,Professor,NA,Professor,NA,Small,Private,Germany,Europe,2.87,PLOS One,male,NA,Non_ECR,Non_ECR
129,29,Effects of single and repeated drought on soil microarthropods in a semi-arid ecosystem depend more on timing and duration than drought severity,Norbert Flórián,Miklós Dombos,10,3,11,9,41,0,0,ECR,PhD,Principal Investigator,NA,NA,NA,Hungary,Europe,2.87,PLOS One,male,NA,ECR,Non_ECR
130,30,Organic animal farms increase farmland bird abundance in the Boreal region,Andrea Santangeli,Irina Herzon,4,15,19,64,60,0,0,ECR,PhD,Professor,NA,Large,Public,Finland,Europe,2.87,PLOS One,female,female,ECR,Non_ECR
131,31,Ecologically relevant biomarkers reveal that chronic effects of nitrate depend on sex and life stage in the invasive fish Gambusia holbrooki,Oriol Cano-Rocabayera,Alberto Maceda-Veiga,5,2,21,21,81,0,0,ECR,PhD,Professor,NA,Large,Public,Spain,Europe,2.87,PLOS One,NA,male,ECR,Non_ECR
132,32,Thermal physiological traits in tropical lowland amphibians: Vulnerability to climate warming and cooling,Rudolf von May,Daniel L. Rabosky,6,16,45,86,146,0,6,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
133,33,Migratory goose arrival time plays a larger role in influencing forage quality than advancing springs in an Arctic coastal wetland,Karen H. Beard,Jeffrey M. Welker,7,36,66,166,365,1,0,Professor,NA,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,female,male,Non_ECR,Non_ECR
134,34,Social proximity in dairy calves is affected by differences in pessimism,Benjamin Lecorps,Marina A. G. von Keyserlingk,4,5,69,26,387,0,0,ECR,PhD,Professor,NA,Large,Public,Canada,North America,2.87,PLOS One,male,female,ECR,Non_ECR
135,35,Spatial variation in a top marina predator's diet at two regionally distinct sites,Martha Gosch,Mark Jessopp,6,5,19,11,69,0,0,ECR,Post doc,Lecturer,NA,Large,Public,Ireland,Europe,2.87,PLOS One,female,male,ECR,Non_ECR
136,36,Agroecological coffee management increases arbuscular mycorrhizal fungi diversity,Paulo Prates Junior,Maria Catarina Megumi Kasuya,8,2,28,16,213,1,0,ECR,PhD,Professor,NA,Medium,Public,Brazil,South America,2.87,PLOS One,male,female,ECR,Non_ECR
137,37,Cophylogenetic analysis suggests cospeciation between the Scorpion Mycoplasma Clade symbionts and their hosts,Luis M. Bolanos,Esperanza Martinez-Romero,10,5,74,8,328,1,2,ECR,Post doc,Professor,NA,Large,Public,Mexico,North America,2.87,PLOS One,male,female,ECR,Non_ECR
138,38,Illegal recreational fishing causes a decline in a fishery targeted species (Snapper: Chrysophrys auratus) within a remote no-take marine protected aera,David Harasti,Natalie Moltschaniwskyj,5,18,37,62,168,1,0,Senior researcher,NA,Professor,NA,Small,Public,Australia,Oceania,2.87,PLOS One,male,female,Non_ECR,Non_ECR
139,39,Geographic patterns of mtDNA and Z-linked sequence variation in the Common Chiffchaff and the 'chiffchaff complex',Marko Rakovic,Sergei V. Drovetski,15,4,28,26,76,0,0,Senior Biologist,NA,Senior Scientist,NA,Small,Public,Serbia,Europe,2.87,PLOS One,male,male,Non_ECR,Non_ECR
140,40,Variation in the susceptibility of Anopheles gambiae to botanicals across a metropolitan region of Nigeria,Seun Olaitan Oladipupo,Olajire Ayodele Gbaye,4,3,8,10,32,0,0,ECR,PhD,Senior Lecturer,NA,Large,Public,USA,North America,2.87,PLOS One,NA,NA,ECR,Non_ECR
141,41,Ecological contributions to body shape evolution in salamanders of the genus Eurycea (Plethodontidae),Hilary A. Edgington,Douglas R. Taylor,2,4,48,8,204,1,0,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,female,male,ECR,Non_ECR
142,42,Sea-level rise and storm surges structure coastal forests into persistence and regeneration niches,William S. Kearney,Sergio Fagherazzi,3,6,45,18,182,0,0,ECR,PhD,Professor,NA,Large,Private,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
143,43,"Human disturbance impacts the integrity of sacred church forests, Ethiopia",Catherine L. Cardelus,Berhanu Abraha Tsegay,6,19,12,47,63,0,0,Professor,NA,Professor,NA,Small,Private,USA,North America,2.87,PLOS One,female,NA,Non_ECR,Non_ECR
144,44,Using the Dirichlet process to form clusters of people's concerns in the context of future party identification,Patrick Meyer,Timovon Oertzen,7,18,22,153,98,2,0,Professor,N/a,Professor,NA,Small,Public,France,Europe,2.87,PLOS One,male,NA,Non_ECR,Non_ECR
145,45,Shifts in temperature influence how Batrachochytrium dendrobatidis infects amphibian larvae,Paul W. Bradley,Andrew R. Blaustein,6,5,75,14,293,1,2,ECR,assistant professor,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
146,46,Insights into the genetic diversity of Mycobacterium tuberculosis in Tanzania,Liliana K. Rutaihwa,Sebastien Gagneux,18,5,69,23,446,4,25,ECR,Post doc,Researcher,NA,NA,NA,Switzerland,Europe,2.87,PLOS One,female,male,ECR,Non_ECR
147,47,Comparing the effects of asynchronous herbivores on New Zealand montane vegetation communities,Jamie R. Wood,Janet M. Wilmshurst,2,26,44,139,162,0,0,Researcher ,NA,Researcher,NA,NA,NA,New Zealand,Oceania,2.87,PLOS One,female,female,Non_ECR,Non_ECR
148,48,In vitro larval rearing protocol for the stingless bee species Melipona scutellaris for toxicological studies,Adna Suelen Dorigo,Osmar Malaspina,6,2,25,7,112,0,2,ECR,Masters,Professor,NA,Large,Public,Brazil,South America,2.87,PLOS One,female,male,ECR,Non_ECR
149,49,Generation of swine movement network and analysis of efficient mitigation strategies for African swine fever virus,Tanvir Ferdousi,Caterina Scoglio,4,3,34,10,234,2,7,ECR,PhD,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,female,ECR,Non_ECR
150,50,BioModelos: A Collaborative Online System to Map Species distributions,Jorge Velasquez-Tibata,Maria C. Londono-Murcia,6,10,12,45,58,2,1,Researcher ,NA,Researcher,NA,Small,Public,Colombia,South America,2.87,PLOS One,male,female,Non_ECR,Non_ECR
151,51,"Sex differences in aggression: Differential roles of 5-HT2, neuropeptide F and tachkinin",Andrew N. Bubak,John G. Swallow,8,7,35,23,116,2,1,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
152,52,Simultaneous detection of macroevolutionary patterns in phenotypic means and rate of change with and within phylogenetic tress including extinct species,Silvia Castiglione,Pasquale Raia,7,35,37,103,142,1,1,Professor,NA,Professor,NA,Large,Public,Italy,Europe,2.87,PLOS One,female,male,Non_ECR,Non_ECR
153,53,"Initiation of feeding by four sympatric Neotropical primates (ateles belzebuth, Lagothrix lagotricha poeppigii, Plecturocebus (Callicebus) discolor, and Pithecia aequatorialis) in Amazonian Ecuador: Relationships to photic and ecological factors",Max D. Snodderly,Anthony Di Fiore,6,52,52,170,303,0,0,Professor,NA,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,Non_ECR,Non_ECR
154,54,"A multidisciplinary approach to inform assisted migration of the restricted rainforest tree, Fontainea rostrata",Gabriel C. Conroy,Steven M. Ogbourne,4,6,22,24,97,1,1,ECR ,PhD,Senior Scientist,NA,Medium,Public,Australia,Oceania,2.87,PLOS One,male,male,Non_ECR,Non_ECR
155,55,"Migratory patterns and settlement areas revealed by remote sensing in an endangered intra-African migrant, the Black Harrier (Circus maurus)",Marie-Sophie Garcia-Heras,Robert E. Simmons,6,6,29,13,195,0,1,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,NA,male,ECR,Non_ECR
156,56,Social proximity in dairy calves is affected by differences in pessimism,Benjamin Lecorps,Marina A. G. von Keyserlingk,4,6,70,10,431,0,0,ECR,PhD,Professor,NA,Large,Public,Canada,North America,2.87,PLOS One,male,female,ECR,Non_ECR
157,57,Does diversifying crop rotations suppress weeds? A meta-analysis,David Weisberger,Matt Liebman,3,1,58,7,299,0,0,ECR,Graduate Research Assistant,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
158,58,Elucidating stygofaunal trophic web interactions via isotopic ecology,Mattia Saccò,Kliti Grice,7,3,46,10,353,0,0,ECR ,Post doc,Professor,NA,Large,Public,Australia,Oceania,2.87,PLOS One,female,NA,Non_ECR,Non_ECR
159,59,"One problem, too many solutions: How costly is honest signalling of need?",Szabolcs Számadó,István Zachar,3,17,10,51,31,9,3,ECR,Senior research fellow,ECR,Senior research fellow,NA,NA,Hungary,Europe,2.87,PLOS One,NA,NA,ECR,ECR
160,60,Superadditive and subadditive dynamics are not inherent to the types of interacting threat,Vanessa Haller-Bull,Michael Bode,2,0,32,3,126,1,2,ECR,PhD,Professor,NA,Medium,Public,Australia,Oceania,2.87,PLOS One,female,male,ECR,Non_ECR
161,61,Nonlinear diversification rates of linguistic phylogenies over the Holocene,Marcus J. Hamilton,Robert S. Walker,2,28,27,77,92,3,3,ECR,Associate professor,ECR,Associate Professor,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,ECR
162,62,Exploring the impact of Helicobacter pylori on gut microbiome composition,Nihar Ranjan Dash,Mohammad Tahseen Al Bataineh,4,12,7,29,9,0,0,Professor,NA,ECR,Post doc,Medium,Private,United Arab Emirates,Asia,2.87,PLOS One,male,male,Non_ECR,ECR
163,63,Sea-level rise and storm surges structure coastal forests into persistence and regeneration niches,William S. Kearney,Sergio Fagherazzi,3,6,46,18,250,0,0,ECR,Post doc,Professor,NA,Large,Private,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
164,64,The quest for an optimal alpha,Jeff Miller,Rolf Ulrich,2,60,58,214,277,0,1,Professor,NA,Professor,NA,Large,Public,New Zealand,Oceania,2.87,PLOS One,male,male,Non_ECR,Non_ECR
165,65,"The design, launch and assessment of a new volunteer-based plant monitoring scheme for the United Kingdom",Oliver L. Pescott,David B. Roy,10,11,76,79,337,0,2,Botanist,NA,Professor,NA,NA,NA,England,United kingdom,2.87,PLOS One,male,male,Non_ECR,Non_ECR
166,66,Transboundary movements of foot-and-mouth disease from India to Sri Lanka: A common pattern is shared by serotypes O and C,Thilanka Ranaweera,Suneth D. S. S. Sooriyapathirana,9,2,7,23,122,1,0,ECR,Research Assistant,Professor,NA,Medium,Public,Sri Lanka,Asia,2.87,PLOS One,NA,NA,ECR,Non_ECR
167,67,Shifts in temperature influence how Batrachochytrium dendrobatidis infects amphibian larvae,Paul William Bradley,Andrew R. Blaustein,6,5,75,8,324,1,2,ECR,Teaching professor,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
168,68,Mapping 15 years of crayfish plague in the Iberian Peninsula: The impact of two invasive species on the endangered native crayfish,Laura Martín-Torrijos,Javier Diéguez-Uribeondo,5,6,33,9,98,0,0,ECR,Predoctoral Fellow,Vice Research Chair,NA,NA,NA,Spain,Europe,2.87,PLOS One,female,male,ECR,Non_ECR
169,69,Comparison of spatiotemporal patterns of historic natural Anthrax outbreaks in Minnesota and Kazakhstan,Kaushi Kanankege,Andres M. Perez,10,5,32,15,2657,0,2,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,NA,male,ECR,Non_ECR
170,70,Insights into the genetic diversity of Mycobacterium tuberculosis in Tanzania,Liliana Rutaihwa,Sebastien Gagneux,18,5,69,16,258,4,25,ECR,Post doc,Professor,NA,Medium,Public,Switzerland,Europe,2.87,PLOS One,female,male,ECR,Non_ECR
171,71,Comparing the effects of asynchronous herbivores on New Zealand montane vegetation communities,Jamie R. Wood,Janet M. Wilmshurst,2,26,44,110,142,0,0,Researcher ,NA,Programme Leader,NA,Large,Public,New Zealand,Oceania,2.87,PLOS One,female,female,Non_ECR,Non_ECR
172,72,Exploring the bacteriome in anthropophilic ticks: To investigate the vectors for diagnosis,Arantza Portillo,José A. Oteo,6,33,42,136,347,0,0,NA,NA,Head of Medicine,NA,NA,NA,Spain,Europe,2.87,PLOS One,female,NA,ECR,Non_ECR
173,73,Generation of swine movement network and analysis of efficient mitigation strategies for African swine fever virus,Tanvir Ferdousi,Caterina Scoglio,4,3,34,4,238,2,7,ECR,PhD,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,female,ECR,Non_ECR
174,74,A fecal sequel: Testing the limits of a genetic assay for bat species identification,Faith Walker,Viacheslav Y. Fofanov,7,11,18,34,68,1,6,Director of Genetics,NA,Assistant Professor,NA,Large,Public,USA,North America,2.87,PLOS One,female,NA,Non_ECR,Non_ECR
175,75,Factoring a 2 x 2 contingency table,Stanley Luck,NA,1,9,NA,67,NA,0,NA,Data Scientist,NA,NA,NA,NA,NA,USA,North America,2.87,PLOS One,male,NA,Non_ECR,ECR
176,76,Aerial-trained deep learning networks for surveying cetaceans from satellite imagery,Alex Borowicz,Heather J. Lynch,7,2,28,5,120,0,0,ECR,PhD,Assistant Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,female,ECR,Non_ECR
177,77,Genetic evidence for plural introduction pathways of the invasive weed Paterson’s curse (Echium plantagineum L.) to southern Australia,Xiaocheng Zhu,Leslie A. Weston,11,8,47,69,332,0,2,Research Fellow,NA,Professor,NA,Large,Public,Australia,Oceania,2.87,PLOS One,NA,female,Non_ECR,Non_ECR
178,78,Bacteria isolated from Bengal cat (Felis catus × Prionailurus bengalensis) anal sac secretions produce volatile compounds potentially associated with animal signaling,Mei S Yamaguchi,David A. Coil,9,3,17,11,86,1,4,ECR,Post doc,Project Scientist,NA,Large,Public,USA,North America,2.87,PLOS One,female,male,ECR,Non_ECR
179,79,Plotting a future for Amazonian canga vegetation in a campo rupestre context,Daniela Zappi,Eimear Nic Lughadha,8,30,36,212,110,0,0,Conservation Scientist,NA,Senior Research Leader,NA,NA,NA,Brazil,South America,2.87,PLOS One,female,female,Non_ECR,Non_ECR
180,80,Population genetic differentiation of the hydrothermal vent crab Austinograea alayseae (Crustacea: Bythograeidae) in the Southwest Pacific Ocean,Won-Kyung Lee,Se-Jong Ju,5,4,15,10,83,0,0,NA,NA,Principal Research Scientist,NA,NA,NA,Korea,Asia,2.87,PLOS One,NA,NA,ECR,Non_ECR
181,81,Short-term fish predation destroys resilience of zooplankton communities and prevents recovery of phytoplankton control by zooplankton grazing,Zeynep Ersoy,Thomas Mehner,4,4,47,6,180,0,0,ECR,Post doc,Research Group leader,NA,Medium,Private,Spain,Europe,2.87,PLOS One,female,male,ECR,Non_ECR
182,82,An ecologically constrained procedure for sensitivity analysis of Artificial Neural Networks and other empirical models,Simone Franceschini,Michele Scardi,5,6,31,13,184,1,0,ECR,Post doc,Professor,NA,Large,Public,Italy,Europe,2.87,PLOS One,female,female,ECR,Non_ECR
183,83,Secreted metabolite-mediated interactions between rhizosphere bacteria and Trichoderma biocontrol agents,Ningxiao Li,Seogchan Kang,3,7,55,9,172,0,0,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,NA,NA,ECR,Non_ECR
184,84,Root and shoot competition lead to contrasting competitive outcomes under water stress: A systematic review and meta-analysis,Alicia J. Foxx,Florian Fort,2,2,9,10,39,1,2,ECR,Post doc,ECR,Post doc,Large,Private,USA,North America,2.87,PLOS One,female,male,ECR,ECR
185,85,Using virtual reality and thermal imagery to improve statistical modelling of vulnerable and protected species,Catherine Leigh,Erin E. Peterson,12,22,21,70,57,2,2,Adjunct Senior Lecturer,NA,Principal Research Fellow,NA,Large,Public,Australia,Oceania,2.87,PLOS One,female,female,Non_ECR,Non_ECR
186,86,"Social information use in adolescents: The impact of adults, peers and household composition",Lucas Molleman,Wouter van den Bos,3,11,31,24,87,1,2,ECR,Post doc,ECR,Associate Professor,Large,Public,Amsterdam,Europe,2.87,PLOS One,male,NA,ECR,ECR
187,87,Fixation of genetic variation and optimization of gene expression: The speed of evolution in isolated lizard populations undergoing Reverse Island Syndrome,Maria Buglione,Domenico Fulgione,8,3,18,13,86,0,0,ECR,Post doc,Professor,NA,Large,Public,Italy,Europe,2.87,PLOS One,female,male,ECR,Non_ECR
188,88,Time scale of resilience loss: Implications for managing critical transitions in water quality,Ryan D. Batt,Ahjond Garmestani,3,17,38,27,111,0,0,ECR,Post doc,NA,NA,Large,Public,USA,North America,2.87,PLOS One,male,NA,ECR,ECR
189,89,Relationships between Potentially Toxic Elements in intertidal sediments and their bioaccumulation by benthic invertebrates,Tom Sizmur,Travis Gerwing,6,14,12,52,39,1,1,ECR,Lecturer,Ecosystems Team Leader,NA,Medium,Public,England,United kingdom,2.87,PLOS One,male,male,ECR,Non_ECR
190,90,Journals’ instructions to authors: A cross-sectional study across scientific disciplines,Mario Maliki,Gerben ter Riet,4,10,64,55,464,0,0,ECR,Post doc,Associate Professor,NA,Large,Public,Amsterdam,Europe,2.87,PLOS One,male,NA,ECR,Non_ECR
191,91,Historical range contractions can predict extinction risk in extant mammals,Christielly Mendonça Borges,Ricardo Dobrovolski,5,1,20,1,45,0,1,ECR,PhD,Professor,NA,Medium,Public,Brazil,South America,2.87,PLOS One,NA,male,ECR,Non_ECR
192,92,The transition from bee-to-fly dominated communities with increasing elevation and greater forest canopy cover,Lindsie M. McCabe,Neil S. Cobb,5,4,33,10,134,0,0,ECR,Post doc,Research Director,NA,Large,Public,USA,North America,2.87,PLOS One,female,male,ECR,Non_ECR
193,93,Living on the edge: Was demographic weakness the cause of Neanderthal demise?,Anna Degioanni,Silvana Condemi,4,15,24,81,166,0,0,NA,NA,Research Director,NA,Large,Public,France,Europe,2.87,PLOS One,female,female,ECR,Non_ECR
194,94,Heritability of growth and leaf loss compensation in a long-lived tropical understorey palm,Merel Jansen,Niels P. R. Anten,8,3,45,9,188,1,1,ECR,Post doc,Professor,NA,Medium,Public,Amsterdam,Europe,2.87,PLOS One,male,male,ECR,Non_ECR
195,95,Understanding the prevalence of bear part consumption in Cambodia: A comparison of specialised questioning techniques,Elizabeth Oneita Davis,Jenny Anne Glikman,7,5,9,15,37,0,0,ECR,Post doc,Associate Director,NA,Large,Public,England,United kingdom,2.87,PLOS One,female,female,ECR,Non_ECR
196,96,Low-cost cross-taxon enrichment of mitochondrial DNA using in-house synthesised RNA probes,Stephen M. Richards,Alan Cooper,12,26,84,85,318,0,5,ECR,Research Associate,Head Researcher,NA,Large,Public,Australia,Oceania,2.87,PLOS One,male,male,ECR,Non_ECR
197,97,How many to sample? Statistical guidelines for monitoring animal welfare outcomes,Jordan O. Hampton,David M. Forsyth,3,14,36,52,177,0,0,ECR,Adjunct lecturer,ECR,Adjunct Associate Professor,Medium,Public,Australia,Oceania,2.87,PLOS One,male,male,ECR,ECR
198,98,Water boatman survival and fecundity are related to ectoparasitism and salinity stress,Vanessa Céspedes,Marta I. Sánchez,4,4,24,10,81,0,0,ECR,Post doc,ECR,Associate Professor,NA,NA,Spain,Europe,2.87,PLOS One,female,female,ECR,ECR
199,99,Variation in the susceptibility of Anopheles gambiae to botanicals across a metropolitan region of Nigeria,Seun Oladipupo,Olajire Gbaye,4,3,8,10,32,0,0,ECR,PhD,Lectuer,NA,Medium,Public,Nigeria,Africa,2.87,PLOS One,NA,NA,ECR,Non_ECR
200,100,Are dialects socially learned in marmoset monkeys? Evidence from translocation experiments,Yvonne Zürcher,Judith M. Burkart,3,4,31,7,160,0,0,ECR,PhD,Professor,NA,Large,Public,Switzerland,Europe,2.87,PLOS One,female,female,ECR,Non_ECR
201,1,"Ecology of a widespread large omnivore, Homo sapiens, and its impacts on ecosystem processes ",Meredith Root-Bernstein,Richard Ladle,2,12,42,68,196,0,0,ECR,Post doc,Professor,NA,Large,Public,Denmark,Europe,2.34,Ecology and Evolution,female,male,ECR,Non_ECR
202,2,Do different rates of gene flow underlie variation in phenotypic and phenological clines in a montane grasshopper community? ,Rachel A. Slatyer,Lauren B. Buckley,4,10,40,17,90,0,1,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.34,Ecology and Evolution,female,female,ECR,Non_ECR
203,3,Species-level image classification with convolutional neural network enables insect identification from habitus images,Oskar L. P. Hansen,Toke T. Høye,8,5,32,12,170,1,7,ECR,PhD,Senior Scientist,NA,Large,Public,Denmark,Europe,2.34,Ecology and Evolution,male,NA,ECR,Non_ECR
204,4,Links between prey assemblages and poison frog toxins: A landscape ecology approach to assess how biotic interactions affect species phenotypes,Ivan Prates,Ana C. Carnaval,4,10,27,26,77,1,1,ECR,Post doc,Professor,NA,NA,NA,NA,NA,2.34,Ecology and Evolution,male,female,ECR,Non_ECR
205,5,Early usage and meaning of evolvability,Brian I. Crother,Christopher M. Murray,2,26,9,157,51,0,0,Professor,NA,ECR,Professor,Medium,Public,USA,North America,2.34,Ecology and Evolution,male,male,Non_ECR,ECR
206,6,Rapid evolution of Medicago polymorpha during invasion shifts interactions with the soybean loope,Chandra N. Jack,Maren L. Friesen,2,5,18,11,61,0,2,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.34,Ecology and Evolution,female,female,ECR,Non_ECR
207,7,The ecology of suburban juvenile European hedgehogs (Erinaceus europaeus ) in Denmark,Sophie L. Rasmussen,Owen R. Jones,4,2,24,9,77,0,4,ECR,PhD,Professor,NA,Large,Public,Denmark,Europe,2.34,Ecology and Evolution,female,male,ECR,Non_ECR
208,8,Population genetic structure and connectivity of the seagrass Thalassia hemprichii in the Western Indian Ocean is influenced by predominant ocean currents,Marlene Jahnke,Lina Mtwana Nordlund,9,10,14,20,40,0,0,ECR,Post doc,ECR,Associate Senior Lecturer,Large,Public,Sweden,Europe,2.34,Ecology and Evolution,female,female,ECR,ECR
209,9,Experimental migration upward in elevation is associated with strong selection on life history traits,Megan L. Peterson,Kathleen M. Kay,3,8,18,19,37,0,1,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.34,Ecology and Evolution,female,female,ECR,Non_ECR
210,10,The draft genome of Actinia tenebrosa reveals insights into toxin evolution,Joachim M. Surm,Peter J. Prentis,5,5,24,13,85,3,1,ECR,Post doc,Senior Lecturer,NA,Large,Public,Australia,Oceania,2.34,Ecology and Evolution,male,male,ECR,Non_ECR
211,11,Gender differences in peer review outcomes and manuscript impact at six journals of ecology and evolution,Charles W. Fox,C.E. Timothy Paine,2,57,29,167,52,1,0,Professor,NA,Senior Lecturer,NA,Large,Public,USA,North America,2.34,Ecology and Evolution,male,NA,Non_ECR,Non_ECR
212,12,Rewiring and indirect effects underpin modularity reshuffling in a marine food web under environmental shifts,Domenico D'Alelio,Ferenc Jordan,5,16,34,52,146,0,0,Researcher,NA,Senior Scientist,NA,Small,Public,Italy,Europe,2.34,Ecology and Evolution,male,male,Non_ECR,Non_ECR
213,13,The nutritional landscape of host plant for a specialist insect herbivore,Jerome Keaton Wilson,Goggy Davidowitz,4,6,26,48,118,0,0,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.34,Ecology and Evolution,male,NA,ECR,Non_ECR
